store_name	sale_dollars	percentage
Wilkie Liquors	11620.8	18.77775264195456
Sam's Club 6432 / Sioux City	6641.040000000001	10.731086190737809
Sam's Club 6514 / Waterloo	5199.36	8.401512458391235
Hy-Vee #3 / BDI / Des Moines	4124.04	6.663930452767993
Sam's Club 6568 / Ames	3913.92	6.32440293442782
Cedar Ridge Vineyards	3712.5	5.998933522929257
Hy-Vee Wine and Spirits / WDM	3372.3	5.44921306919174
Central City 2	2580.6	4.169925346605048
Fareway Stores #138 / Pleasant Hill	2295.0	3.7084316323562683
Hy-Vee Food Store #3 / Waterloo	2256.0	3.6454125327214557
Hy-Vee Food Store #2 / Waterloo	1992.15	3.219064085576705
Hy-Vee Food Store / Fort Dodge	1563.84	2.5269689428950004
Hy-Vee / Waukee	1518.72	2.454060692240571
Fareway Stores #067 / Evansdale	1349.4	2.1804608473645093
Fareway Stores #153  /  W Des Moines	1349.28	2.1802669424425556
Central City Liquor, Inc.	1078.92	1.7433991532818411
Hy-Vee Food Store #1 / Mason City	900.24	1.4546747244934235
Hy-Vee Food Store / Carroll	737.46	1.1916426978638142
Hy-Vee Wine and Spirits / Iowa City	706.3199999999999	1.1413243706169407
Sam's Club 8162 / Cedar Rapids	691.2	1.116892350450829
Hy-Vee Food Store / Coralville	504.0	0.8144006722037295
Hy-Vee #7 / Cedar Rapids	486.0	0.7853149339107391
Tequila's Liquor Store	413.28	0.6678085512070581
Osage Payless Foods	324.0	0.5235432892738261
Hy-Vee Food and Drug / Clinton	282.24	0.45606437643408854
Quicker Liquor Store	237.24	0.38335003070161267
Ray's Supermarket, Inc.	206.64	0.33390427560352903
Burlington Shell	206.64	0.33390427560352903
East Side Liquor and Groceries	206.64	0.33390427560352903
I-80 Liquor / Council Bluffs	174.24	0.28154994667614647
Depot Liquor & Grocery	112.47	0.1817373881007013
Fareway Stores #412 / Oelwein	105.04	0.16973144168309473
Quik Stop  /  Burlington	81.6	0.13185534692822287
Hy-Vee Food Store / Marshalltown	75.54	0.12206314836958279
The Ox & Wren Spirits and Gifts	75.12	0.12138448114274636
Fareway Stores #597 / Creston	71.25	0.11513104740975343
Hy-Vee Wine and Spirits / Hubbell	70.56	0.11401609410852213
Speedy Gas N Shop	68.18	0.11017031315644897
Hy-Vee Food Store / Johnston	64.32	0.10393303816695212
Logan Convenience Store	63.36	0.10238179879132599
Iowa Street Market, Inc.	50.36	0.08137543224638852
Nash Finch / Wholesale Food	45.72	0.07387777526419545
CVS Pharmacy #8526 / Cedar Rapids	42.0	0.06786672268364412
Sid's Beverage Shop	41.55	0.06713957922631936
Tobacco Hut #14 / Council Bluffs	33.24	0.05371166338105549
Hy-Vee Wine and Spirits / Storm Lake	33.0	0.053323853537148955
Fareway Stores #409 / Carroll	32.52	0.052548233849335886
Gameday Liquor	27.0	0.0436286074394855
Hy-Vee Wine and Spirits / Atlantic	23.04	0.037229745015027634
Hy-Vee Food Store / Fairfield	21.78	0.03519374333451831
Pump N Pak	21.0	0.03393336134182206
Smokin' Joe's #7 Tobacco and Liquor Outlet	18.0	0.02908573829299034
Famous Liquors	17.98	0.029053420805998126
Hy-Vee Drugstore / Council Bluffs	17.82	0.02879488091006043
Food Land Super Markets	13.26	0.021426493875836214
Double D Liquor Store	9.74	0.015738616165206994
Bootleggin' Barzini's Fin	6.75	0.010907151859871376
